token1,token2,lemma1,lemma2,pos,mainpos,chunk,ner,samePos,sameMainPos,entDistance,sentDistance,eventClass1|eventClass2,tense1|tense2,aspect1|aspect2,polarity1|polarity2,sameEventClass,sameTense,sameAspect,samePolarity,depPath,mainVerb1|mainVerb2,tempMarkerClusText-Position,tempMarkerDep1-Dep2,causMarkerClusText-Position,causMarkerDep1-Dep2,coref,wnSim,label
season,killed,season,kill,NN1|VVN,n|v,I-NP|I-VP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,PRESENT|PRESENT,PROGRESSIVE|PERFECTIVE,pos|pos,TRUE,TRUE,FALSE,TRUE,O,O|O,O|O,O|O,so|AFTER,O|VC-TMP,NOCOREF,0.10123076623441425,INCLUDES
started,ended,start,end,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,5,1,ASPECTUAL|ASPECTUAL,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,-0.0,BEFORE
started,sparking,start,spark,VVD|VVG,v|v,B-VP|B-NP,O|O,FALSE,TRUE,2,0,ASPECTUAL|ASPECTUAL,PAST|NONE,NONE|NONE,pos|NONE,TRUE,FALSE,TRUE,FALSE,ADV,MAIN|O,earlier|BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.4585118970562663,SIMULTANEOUS
started,turn,start,turn,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,3,0,ASPECTUAL|OCCURRENCE,PAST|PRESENT,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,ADV-OBJ-VC,MAIN|O,earlier|BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.09059214847358134,BEFORE
ended,said,end,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,5,1,ASPECTUAL|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,BEFORE
ended,according,end,accord,VVD|VVG,v|v,B-VP|B-PP,O|O,FALSE,TRUE,1,0,ASPECTUAL|REPORTING,PAST|NONE,NONE|NONE,pos|NONE,FALSE,FALSE,TRUE,FALSE,COORD-CONJ-ADV,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,BEFORE
reported,said,report,say,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,2,0,REPORTING|REPORTING,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ-VC,O|MAIN,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,COORD-CONJ|OBJ-COORD-CONJ,NOCOREF,0.0,BEFORE
said,said,say,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,REPORTING|REPORTING,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ,MAIN|O,O|O,O|O,O|O,O|O,COREF,1.7976931348623157E308,SIMULTANEOUS
pandemic,died,pandemic,die,NN1|VVD,n|v,I-NP|B-VP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,NONE|PAST,NONE|NONE,NONE|pos,TRUE,FALSE,TRUE,FALSE,NMOD-PMOD-NMOD,O|O,when|BETWEEN,NMOD-PMOD-NMOD-TMP|TMP,O|O,O|O,NOCOREF,0.0,INCLUDES
died,said,die,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,3,0,OCCURRENCE|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,OBJ-SBJ-NMOD,O|MAIN,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,O|OBJ-COORD-CONJ-VC,NOCOREF,0.0,BEFORE
vaccinated,said,vaccinate,say,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,2,0,OCCURRENCE|REPORTING,PASTPART|PAST,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,OBJ-PRD-AMOD-IM-VC,O|MAIN,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,O|OBJ-COORD-CONJ-VC,NOCOREF,0.0,BEFORE
vaccinated,said,vaccinate,say,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,1,0,OCCURRENCE|REPORTING,NONE|PAST,NONE|NONE,NONE|pos,FALSE,FALSE,TRUE,FALSE,OBJ-COORD-CONJ-VC-VC,O|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,BEFORE
said,work,say,work,VVD|NN1,v|v,B-VP|I-VP,O|O,FALSE,TRUE,3,1,REPORTING|OCCURRENCE,PAST|NONE,NONE|NONE,pos|NONE,FALSE,FALSE,TRUE,FALSE,O,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
hospitalized,started,hospitalize,start,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,4,2,OCCURRENCE|ASPECTUAL,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,INCLUDES
started,dropping,start,drop,VVD|VVG,v|v,B-VP|I-VP,O|O,FALSE,TRUE,5,1,ASPECTUAL|OCCURRENCE,PAST|PRESENT,NONE|PERFECTIVE_PROGRESSIVE,pos|pos,FALSE,FALSE,FALSE,TRUE,O,MAIN|MAIN,afterwards|BEGIN-BETWEEN,O|TMP-PMOD,therefore|BEGIN-BETWEEN,O|TMP-PMOD,NOCOREF,0.09059214847358134,BEFORE
conquered,died,conquered,die,AJ0|VVN,adj|v,B-VP|I-VP,O|O,FALSE,FALSE,2,0,OCCURRENCE|OCCURRENCE,NONE|PRESENT,NONE|PERFECTIVE,NONE|pos,TRUE,FALSE,FALSE,FALSE,SBJ-NMOD-PMOD-NMOD-NMOD,O|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,BEFORE
died,died,die,die,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,1,1,OCCURRENCE|OCCURRENCE,PRESENT|PAST,PERFECTIVE|NONE,pos|pos,TRUE,FALSE,FALSE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,COREF,1.7976931348623157E308,SIMULTANEOUS
died,remained,die,remain,VVN|VVD,v|v,I-VP|I-VP,O|O,FALSE,TRUE,46,18,OCCURRENCE|STATE,PRESENT|PAST,PERFECTIVE|NONE,pos|pos,FALSE,FALSE,FALSE,TRUE,O,MAIN|O,later|BEGIN-BETWEEN,O|O,O|O,O|O,NOCOREF,-0.0,ENDS
died,helped,die,help,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,3,1,OCCURRENCE|I_STATE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
helped,paid,help,pay,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,2,1,I_STATE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,O|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.11140991437470953,BEFORE
paid,took,pay,take,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,2,1,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,still|BEGIN-BETWEEN,O|ADV,O|O,O|O,NOCOREF,0.54221495406027,AFTER
paid,shunned,pay,shun,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,DTV-PMOD-COORD-CONJ-NMOD,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
took,made,take,make,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,4,1,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,later|BEGIN-BETWEEN,O|TMP,O|O,O|O,NOCOREF,0.07658811871630476,BEFORE
took,expedition,take,expedition,VVD|NN1,v|n,B-VP|I-NP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,PAST|NONE,NONE|NONE,pos|NONE,TRUE,FALSE,TRUE,FALSE,LOC-PMOD,MAIN|O,still|BETWEEN,ADV|O,O|O,O|O,NOCOREF,0.07743709393542302,SIMULTANEOUS
took,made,take,make,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,2,0,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,LOC-PMOD-NMOD,MAIN|O,still|BETWEEN,ADV|O,O|O,O|O,NOCOREF,0.07658811871630476,SIMULTANEOUS
took,crossing,take,crossing,VVD|NN1,v|n,B-VP|I-NP,O|O,FALSE,FALSE,3,0,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,LOC-PMOD-NMOD-OBJ,MAIN|O,still|BETWEEN,ADV|O,CAUSE-AMBIGUOUS|BETWEEN,LOC-PMOD-NMOD|OBJ,NOCOREF,0.07170427105692957,SIMULTANEOUS
made,said,make,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,3,1,OCCURRENCE|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,later|BEGIN-BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.0,BEFORE
made,expeditions,make,expedition,VVD|NN2,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ,MAIN|O,later|BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.17333809310035514,SIMULTANEOUS
said,had,say,have,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,6,2,REPORTING|STATE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
said,estimated,say,estimate,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,REPORTING|I_STATE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,COORD,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
said,do,say,do,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,2,0,REPORTING|OCCURRENCE,PAST|PRESENT,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,COORD-OBJ-VC,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
said,got,say,get,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,4,0,REPORTING|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,COORD-COORD-CONJ,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
pleased,thought,please,think,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,2,0,I_STATE|I_STATE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ-SUB-COORD-CONJ,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,SIMULTANEOUS
knew,thought,know,think,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,I_STATE|I_STATE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,COORD-CONJ,O|O,O|O,O|O,O|O,O|O,COREF,0.0,SIMULTANEOUS
thought,talked,think,talk,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,2,1,I_STATE|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,O|MAIN,still|BEGIN-BETWEEN,O|ADV,O|O,O|O,NOCOREF,0.0,BEFORE
thought,stop,think,stop,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,1,0,I_STATE|OCCURRENCE,PAST|PRESENT,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,OBJ-OBJ-VC,O|O,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,OBJ|OBJ-VC,NOCOREF,0.0,BEFORE
talked,wear,talk,wear,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,1,0,REPORTING|OCCURRENCE,PAST|NONE,NONE|NONE,pos|NONE,FALSE,FALSE,TRUE,FALSE,COORD-CONJ-OPRD-IM,MAIN|O,as|BETWEEN,ADV-PMOD-NMOD|O,as|BETWEEN,ADV-PMOD-NMOD|O,NOCOREF,0.0,AFTER
talked,work,talk,work,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,2,0,REPORTING|OCCURRENCE,PAST|INFINITIVE,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,COORD-CONJ-OPRD-IM-PRP-IM,MAIN|O,as|BETWEEN,ADV-PMOD-NMOD|O,as|BETWEEN,ADV-PMOD-NMOD|O,NOCOREF,0.11518221577394147,AFTER
met,called,meet,call,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,2,0,OCCURRENCE|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,SBJ-APPO-LOC-PMOD-NMOD,O|MAIN,former|BETWEEN,O|SBJ-APPO-NMOD,O|O,O|O,COREF,-0.0,BEFORE
called,said,call,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,1,REPORTING|REPORTING,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,COREF,0.0,SIMULTANEOUS
said,published,say,publish,VVD|VVN,v|v,B-VP|I-VP,O|O,FALSE,TRUE,3,1,REPORTING|OCCURRENCE,PAST|PASTPART,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,O,MAIN|O,then|BEGIN-BETWEEN,OBJ-COORD-CONJ-ADV|O,O|O,O|O,NOCOREF,-0.0,BEFORE
published,said,publish,say,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,2,1,OCCURRENCE|REPORTING,PASTPART|PAST,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,O,O|MAIN,O|O,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
said,involved,say,involve,VVD|VVN,v|v,B-VP|I-VP,O|O,FALSE,TRUE,5,1,REPORTING|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
said,sought,say,seek,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,REPORTING|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,COORD-PRD-NMOD,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,0.0,AFTER
said,deserve,say,deserve,VVD|VVI,v|v,B-VP|B-VP,O|O,FALSE,TRUE,4,0,REPORTING|OCCURRENCE,PAST|PRESENT,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,COORD-COORD-CONJ,MAIN|O,O|O,O|O,from|BETWEEN,COORD-COORD-CONJ-DEP|DEP,NOCOREF,-0.0,SIMULTANEOUS
involved,worked,involve,work,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,7,1,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,before|BEGIN-BETWEEN,O|TMP,O|O,O|O,NOCOREF,-0.0,BEFORE
involved,remained,involve,remain,VVN|VVD,v|v,I-VP|I-VP,O|O,FALSE,TRUE,3,0,OCCURRENCE|STATE,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,COORD-CONJ,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,SIMULTANEOUS
retiring,worked,retire,work,VVG|VVD,v|v,B-VP|B-VP,O|O,FALSE,TRUE,2,0,OCCURRENCE|OCCURRENCE,PRESPART|PAST,NONE|NONE,pos|pos,TRUE,FALSE,TRUE,TRUE,TMP-PMOD,O|MAIN,before|BETWEEN,PMOD|TMP,O|O,O|O,NOCOREF,-0.0,AFTER
worked,died,work,die,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,3,1,OCCURRENCE|OCCURRENCE,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,before|BEGIN-BETWEEN,TMP|O,O|O,O|O,COREF,-0.0,BEFORE
leaves,marriage,leave,marriage,NN0|NN1,v|n,B-VP|I-NP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,PRESENT|NONE,NONE|NONE,pos|NONE,TRUE,FALSE,TRUE,FALSE,OBJ-NMOD-PMOD,O|O,before|BEGIN,O|O,from|BETWEEN,OBJ-NMOD|PMOD,NOCOREF,0.08539960938002293,AFTER
errors,loss,error,loss,NN2|NN1,n|n,I-NP|B-NP,O|O,FALSE,TRUE,2,0,OCCURRENCE|OCCURRENCE,NONE|NONE,NONE|NONE,NONE|NONE,TRUE,TRUE,TRUE,TRUE,NMOD-VC-VC-ADV-PMOD,O|O,during|AFTER,NMOD-VC-VC-ADV-PMOD-TMP|TMP,O|O,O|O,NOCOREF,0.09800934363153949,BEFORE
apologised,led,apologise,lead,VVN|VVN,v|v,I-VP|I-VP,O|O,TRUE,TRUE,2,0,OCCURRENCE|OCCURRENCE,PRESENT|NONE,PERFECTIVE|PERFECTIVE,pos|pos,TRUE,FALSE,TRUE,TRUE,ADV-PMOD-NMOD-VC-VC,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
apologised,loss,apologise,loss,VVN|NN1,v|n,I-VP|B-NP,O|O,FALSE,FALSE,3,0,OCCURRENCE|OCCURRENCE,PRESENT|NONE,PERFECTIVE|NONE,pos|NONE,TRUE,FALSE,FALSE,FALSE,ADV-PMOD-NMOD-VC-VC-ADV-PMOD,MAIN|O,during|AFTER,VC-ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP|TMP,O|O,O|O,NOCOREF,0.0,AFTER
loss,raid,loss,raid,NN1|NN1,n|n,B-NP|I-NP,O|O,TRUE,TRUE,1,0,OCCURRENCE|OCCURRENCE,NONE|NONE,NONE|NONE,NONE|NONE,TRUE,TRUE,TRUE,TRUE,TMP-PMOD,O|O,during|BETWEEN,TMP|PMOD,O|O,O|O,NOCOREF,0.08269942882088153,IS_INCLUDED
apologised,raid,apologise,raid,VVN|NN1,v|n,I-VP|I-NP,O|O,FALSE,FALSE,4,0,OCCURRENCE|OCCURRENCE,PRESENT|NONE,PERFECTIVE|NONE,pos|NONE,TRUE,FALSE,FALSE,FALSE,ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP-PMOD,MAIN|O,during|BETWEEN,VC-ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP|PMOD,O|O,O|O,NOCOREF,-0.0,AFTER
apologised,tried,apologise,try,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,5,0,OCCURRENCE|I_ACTION,PRESENT|PAST,PERFECTIVE|NONE,pos|pos,FALSE,FALSE,FALSE,TRUE,ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP-PMOD-NMOD-PMOD-NMOD,MAIN|O,during|BETWEEN,VC-ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP|PMOD-NMOD-PMOD-NMOD,O|O,O|O,NOCOREF,-0.0,AFTER
tried,blockade,try,blockade,VVD|NN1,v|n,B-VP|I-NP,O|O,FALSE,FALSE,2,0,I_ACTION|OCCURRENCE,PAST|INFINITIVE,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,OPRD-IM-OBJ,O|O,O|O,O|O,O|O,O|O,NOCOREF,0.34178533346009593,IS_INCLUDED
apologised,breach,apologise,breach,VVN|VVB,v|v,I-VP|I-VP,O|O,FALSE,TRUE,6,0,OCCURRENCE|I_STATE,PRESENT|INFINITIVE,PERFECTIVE|NONE,pos|pos,FALSE,FALSE,FALSE,TRUE,ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP-PMOD-NMOD-PMOD-NMOD-OPRD-IM,MAIN|O,during|BETWEEN,VC-ADV-PMOD-NMOD-VC-VC-ADV-PMOD-TMP|PMOD-NMOD-PMOD-NMOD-OPRD-IM,O|O,O|O,NOCOREF,-0.0,AFTER
agreed,expressed,agree,express,VVD|VVN,v|v,B-VP|I-NP,O|O,FALSE,TRUE,3,1,I_ACTION|OCCURRENCE,PAST|NONE,NONE|NONE,pos|NONE,FALSE,FALSE,TRUE,FALSE,O,MAIN|O,formerly|BEGIN-BETWEEN,O|O,O|O,O|O,NOCOREF,-0.0,AFTER
agreed,compensate,agree,compensate,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,1,0,I_ACTION|OCCURRENCE,PAST|INFINITIVE,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,OPRD-IM,MAIN|O,still|BETWEEN,ADV|O,O|O,O|O,NOCOREF,-0.0,BEFORE
